GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Server,com.increff.assure.pojo,BinPojo,10,0,0,0,3,0,3,0,3,0
Server,com.increff.assure.pojo,ChannelPojo,24,0,0,0,5,0,7,0,7,0
Server,com.increff.assure.pojo,OrderPojo,48,0,0,0,9,0,13,0,13,0
Server,com.increff.assure.pojo,BinSkuPojo,31,0,0,0,6,0,9,0,9,0
Server,com.increff.assure.pojo,BinFilter,75,0,0,0,12,0,14,0,14,0
Server,com.increff.assure.pojo,OrderItemPojo,52,0,0,0,9,0,15,0,15,0
Server,com.increff.assure.pojo,ChannelListingPojo,38,0,0,0,7,0,11,0,11,0
Server,com.increff.assure.pojo,ProductPojo,52,0,0,0,9,0,15,0,15,0
Server,com.increff.assure.pojo,AbstractEntity,24,0,0,0,7,0,7,0,7,0
Server,com.increff.assure.pojo,MemberPojo,24,0,0,0,5,0,7,0,7,0
Server,com.increff.assure.pojo,InventoryPojo,38,0,0,0,7,0,11,0,11,0
Server,com.increff.assure.dao,BinDao,3,0,0,0,1,0,1,0,1,0
Server,com.increff.assure.dao,MemberDao,39,0,0,0,10,0,4,0,4,0
Server,com.increff.assure.dao,OrderItemDao,35,0,0,0,9,0,4,0,4,0
Server,com.increff.assure.dao,OrderDao,26,0,0,0,6,0,3,0,3,0
Server,com.increff.assure.dao,InventoryDao,22,0,0,0,6,0,4,0,4,0
Server,com.increff.assure.dao,BinSkuDao,97,0,0,0,24,0,8,0,8,0
Server,com.increff.assure.dao,ChannelDao,20,0,0,0,5,0,3,0,3,0
Server,com.increff.assure.dao,AbstractDao,58,0,0,0,10,0,7,0,7,0
Server,com.increff.assure.dao,ProductDao,41,0,0,0,10,0,4,0,4,0
Server,com.increff.assure.dao,ChannelListingDao,55,0,0,0,12,0,4,0,4,0
Server,com.increff.assure.dto,ChannelDto,186,0,10,0,42,0,11,0,6,0
Server,com.increff.assure.dto,OrderDto,567,0,28,0,116,0,28,0,14,0
Server,com.increff.assure.dto,ProductDto,171,0,8,0,40,0,10,0,6,0
Server,com.increff.assure.dto,MemberDto,107,0,6,0,26,0,8,0,5,0
Server,com.increff.assure.dto,BinDto,283,0,30,0,59,0,23,0,8,0
Server,com.increff.assure.model.constants,OrderStatusType,34,0,0,0,2,0,1,0,1,0
Server,com.increff.assure.spring,ControllerConfiguration,3,0,0,0,1,0,1,0,1,0
Server,com.increff.assure.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
Server,com.increff.assure.spring,WebInitializerExtended,10,0,0,0,2,0,2,0,2,0
Server,com.increff.assure.spring,DbConfig,118,0,0,0,28,0,4,0,4,0
Server,com.increff.assure.service,ChannelService,155,0,16,0,32,0,17,0,9,0
Server,com.increff.assure.service,MemberService,67,0,6,0,13,0,9,0,6,0
Server,com.increff.assure.service,InventoryService,42,0,4,0,12,0,5,0,3,0
Server,com.increff.assure.service,OrderService,262,0,26,0,63,0,24,0,11,0
Server,com.increff.assure.service,ProductService,72,0,4,0,19,0,9,0,7,0
Server,com.increff.assure.service,BinService,161,0,16,0,38,0,17,0,9,0
Server,com.increff.assure.service,AboutAppService,9,0,0,0,3,0,3,0,3,0
Server,com.increff.assure.controller,ProductController,26,0,0,0,7,0,5,0,5,0
Server,com.increff.assure.controller,MemberController,20,0,0,0,6,0,5,0,5,0
Server,com.increff.assure.controller,BinController,26,0,0,0,8,0,5,0,5,0
Server,com.increff.assure.controller,SiteUiController,15,0,0,0,4,0,4,0,4,0
Server,com.increff.assure.controller,AppRestControllerAdvice,3,0,0,0,1,0,1,0,1,0
Server,com.increff.assure.controller,AppUiController,27,0,0,0,7,0,7,0,7,0
Server,com.increff.assure.controller,ChannelController,17,0,0,0,6,0,4,0,4,0
Server,com.increff.assure.controller,AboutAppController,3,0,0,0,1,0,1,0,1,0
Server,com.increff.assure.controller,AbstractUiController,16,0,0,0,4,0,2,0,2,0
Server,com.increff.assure.controller,SampleController,43,0,0,0,11,0,2,0,2,0
Server,com.increff.assure.controller,AboutAppController.AboutApiController,22,0,0,0,5,0,2,0,2,0
Server,com.increff.assure.controller,OrderController,37,0,0,0,11,0,8,0,8,0
Server,com.increff.assure.model.forms,ProductForm,10,0,0,0,3,0,3,0,3,0
Server,com.increff.assure.model.forms,UpdateProductForm,31,0,0,0,6,0,9,0,9,0
Server,com.increff.assure.model.forms,ClientAndChannelSku,17,0,0,0,4,0,5,0,5,0
Server,com.increff.assure.model.forms,OrderForm,31,0,0,0,6,0,9,0,9,0
Server,com.increff.assure.model.forms,BinWiseInventoryForm,17,0,0,0,4,0,5,0,5,0
Server,com.increff.assure.model.forms,ChannelListingForm,24,0,0,0,5,0,7,0,7,0
Server,com.increff.assure.model.forms,OrderLineItemForm,24,0,0,0,5,0,7,0,7,0
Server,com.increff.assure.model.forms,UpdateBinForm,10,0,0,0,3,0,3,0,3,0
Server,com.increff.assure.model.forms,BinFilterForm,24,0,0,0,5,0,7,0,7,0
Server,com.increff.assure.model.forms,CreateBinForm,10,0,0,0,3,0,3,0,3,0
Server,com.increff.assure.util,PDFUtility,334,0,2,0,66,0,3,0,2,0
Server,com.increff.assure.util,ValidateRequestBodyList,6,0,0,0,2,0,2,0,2,0
Server,com.increff.assure.util,Normalize,50,0,0,0,15,0,6,0,6,0
Server,com.increff.assure.util,PrefixPhysicalNamingStrategy,48,0,0,0,10,0,5,0,5,0
Server,com.increff.assure.util,IOUtil,11,0,2,0,7,0,3,0,2,0
Server,com.increff.assure.util,StringUtil,29,0,8,0,4,0,8,0,4,0
Server,com.increff.assure.model.data,AboutAppData,17,0,0,0,4,0,5,0,5,0
Server,com.increff.assure.model.data,BinFilterData,24,0,0,0,5,0,7,0,7,0
Server,com.increff.assure.model.data,ProductData,10,0,0,0,3,0,3,0,3,0
Server,com.increff.assure.model.data,BinData,17,0,0,0,4,0,5,0,5,0
Server,com.increff.assure.model.data,OrderDisplayData,31,0,0,0,6,0,9,0,9,0
